"","df","logLik","AIC","delta","weight"
"1/2/8/9",6,169.758596672743,-327.517193345486,0,0.0725554947247513
"1/2/5/8",6,169.741947116839,-327.483894233678,0.0332991118089012,0.0713574788501049
"1/2/3/5/8",7,170.434000708349,-326.868001416697,0.649191928789378,0.052444514766865
"1/2/5/8/9",7,170.283797480794,-326.567594961587,0.949598383899286,0.0451302395393113
"1/2/3/8/9",7,170.005438990259,-326.010877980518,1.50631536496826,0.0341647370268528
"1/2/3/5/8/9",8,171.000096058113,-326.000192116226,1.51700122926064,0.033982683936867
"1/2/3/8/9/10",8,170.947817317534,-325.895634635068,1.6215587104183,0.032251751709089
"1/2/8",5,167.844325604567,-325.688651209135,1.8285421363517,0.0290808722006669
"1/2/3/5/6/8",8,170.82506903865,-325.6501380773,1.86705526818594,0.0285262318415154
"1/2/4/5/8",7,169.792606152481,-325.585212304963,1.93198104052345,0.0276150577132525
