"species","aggressiveness"
"Acanthastrea echinata",44.6
"Acropora aspera",55.9
"Acropora cervicornis",12.6
"Acropora digitifera",45.3
"Acropora gemmifera",20.8
"Acropora hemprichii",13.8
"Acropora humilis",37.4
"Acropora hyacinthus",65.4
"Acropora millepora",35.2
"Acropora monticulosa",20.8
"Acropora nana",44.6
"Acropora nasuta",25.2
"Acropora palmata",15.1
"Acropora robusta",60.4
"Acropora tenuis",44.6
"Acropora valida",22.1
"Agaricia fragilis",3.2
"Astreopora listeri",5.9
"Astreopora myriophthalma",3.4
"Coeloseris mayeri",20.8
"Colpophyllia natans",17.6
"Ctenella chagius",55.8
"Cynarina lacrymalis",93.1
"Cyphastrea chalcidicum",25.7
"Cyphastrea microphthalma",26.3
"Dichocoenia stokesii",47.8
"Diploria labyrinthiformis",22.6
"Dipsastraea favus",52.6
"Dipsastraea pallida",83
"Echinophyllia aspera",73.4
"Echinopora gemmacea",89.7
"Echinopora lamellosa",49.9
"Eusmilia fastigiata",12.6
"Favia fragum",31.9
"Favites abdita",41.4
"Favites flexuosa",20.8
"Favites pentagona",55.2
"Favites valenciennesi",20.8
"Fungia fungites",100
"Galaxea astreata",78.8
"Galaxea fascicularis",86.2
"Gardineroseris planulata",32.8
"Goniastrea pectinata",60.1
"Goniastrea stelligera",65.7
"Goniopora savignyi",93.1
"Halomitra pileus",82.1
"Heliopora coerulea",5.9
"Helioseris cucullata",10.1
"Hydnophora exesa",79.8
"Hydnophora microconos",75.9
"Isophyllia rigida",27.7
"Isophyllia sinuosa",45
"Isopora cuneata",10.1
"Isopora palifera",76.4
"Leptastrea purpurea",11.9
"Leptastrea transversa",9.9
"Lobophyllia agaricia",44.6
"Lobophyllia corymbosa",39
"Lobophyllia radians",28.2
"Lobophytum pauciflorum",20.8
"Lobophytum sarcophytoides",11.9
"Madracis decactis",19.1
"Madracis mirabilis",22.3
"Manicina areolata",17.6
"Meandrina meandrites",47.8
"Merulina ampliata",59.5
"Millepora platyphylla",59.5
"Montastraea cavernosa",32.6
"Montipora aequituberculata",30.4
"Montipora ehrenbergi",11.9
"Montipora foliosa",44.6
"Montipora foveolata",11.9
"Montipora grisea",20.8
"Montipora informis",43.2
"Montipora lobulata",13.8
"Montipora monasteriata",5.9
"Montipora peltiformis",11.9
"Montipora spumosa",44.6
"Montipora tuberculosa",20.8
"Montipora undata",44.6
"Montipora venosa",5.9
"Montipora verrucosa",44.6
"Mussa angulosa",50.3
"Mycedium elephantotus",59.5
"Mycetophyllia aliciae",37.7
"Mycetophyllia danaana",32.7
"Mycetophyllia ferox",47.8
"Mycetophyllia lamarckiana",32.7
"Mycetophyllia reesi",42.8
"Orbicella annularis",36.7
"Pachyseris rugosa",20.8
"Pachyseris speciosa",20.8
"Pavona clavus",3.3
"Pavona varians",46.2
"Platygyra daedalea",44.6
"Platygyra lamellina",63.7
"Platygyra sinensis",44.6
"Plerogyra sinuosa",100
"Plesiastrea versipora",5.9
"Pocillopora damicornis",32.5
"Pocillopora grandis",11.9
"Pocillopora verrucosa",70.2
"Porites astreoides",25.5
"Porites australiensis",20.8
"Porites cylindrica",11
"Porites lichen",11.9
"Porites lutea",5.5
"Porites nigrescens",11.9
"Porites porites",12.8
"Porites rus",20.8
"Porites solida",3.4
"Pseudodiploria clivosa",20.1
"Pseudodiploria strigosa",26.9
"Sarcophyton crassocaule",5.9
"Sarcophyton glaucum",5.9
"Sarcophyton trocheliophorum",20.8
"Scolymia cubensis",40.9
"Scolymia lacera",50.3
"Seriatopora hystrix",17.3
"Sinularia compacta",11.9
"Sinularia facile",11.9
"Sinularia gibberosa",11.9
"Sinularia granosa",5.9
"Sinularia numerosa",5.9
"Sinularia polydactyla",20.8
"Sinularia scabra",20.8
"Stephanocoenia intersepta",15.9
"Stylophora pistillata",19.2
"Symphyllia recta",44.6
"Turbinaria frondens",20.8
"Turbinaria immersa",20.8
"Turbinaria reniformis",20.8
