"species","colonyMaxDiameter_cm"
"Acanthastrea pachysepta",50
"Acropora abrolhosensis",1000
"Acropora abrotanoides",300
"Acropora aculeus",40
"Acropora acuminata",200
"Acropora anthocercis",100
"Acropora awi",150
"Acropora batunai",125
"Acropora bushyensis",25
"Acropora caroliniana",50
"Acropora cerealis",50
"Acropora cervicornis",111
"Acropora cytherea",300
"Acropora dendrum",100
"Acropora derawanensis",100
"Acropora desalwii",30
"Acropora digitifera",100
"Acropora divaricata",200
"Acropora donei",300
"Acropora echinata",150
"Acropora elseyi",50
"Acropora fenneri",100
"Acropora florida",1500
"Acropora grandis",700
"Acropora granulosa",100
"Acropora hemprichii",200
"Acropora hoeksemai",400
"Acropora horrida",200
"Acropora hyacinthus",300
"Acropora indonesia",100
"Acropora intermedia",500
"Acropora jacquelineae",100
"Acropora lamarcki",200
"Acropora lianae",50
"Acropora listeri",50
"Acropora lokani",30
"Acropora loripes",50
"Acropora lutkeni",600
"Acropora maryae",100
"Acropora microclados",100
"Acropora microphthalma",200
"Acropora monticulosa",300
"Acropora muricata",1000
"Acropora nana",15
"Acropora nasuta",80
"Acropora palmata",400
"Acropora palmerae",200
"Acropora paniculata",200
"Acropora parahemprichii",400
"Acropora pectinata",100
"Acropora pichoni",100
"Acropora polystoma",200
"Acropora pruinosa",100
"Acropora pulchra",500
"Acropora robusta",200
"Acropora roseni",200
"Acropora rudis",100
"Acropora samoensis",100
"Acropora sarmentosa",30
"Acropora secale",100
"Acropora selago",75
"Acropora simplex",100
"Acropora solitaryensis",300
"Acropora speciosa",100
"Acropora subulata",300
"Acropora sukarnoi",150
"Acropora tenuis",100
"Acropora turaki",200
"Acropora valenciennesi",400
"Acropora valida",300
"Acropora walindii",100
"Acropora willisae",100
"Acropora yongei",200
"Agaricia agaricites",60
"Agaricia fragilis",4.74
"Agaricia humilis",12
"Agaricia lamarcki",11.21
"Alveopora catalai",1000
"Alveopora excelsa",200
"Alveopora japonica",4
"Alveopora minuta",10
"Alveopora spongiosa",200
"Astrea devantieri",150
"Astreopora incrustans",100
"Australogyra zelli",200
"Balanophyllia europaea",2
"Cantharellus doederleini",5
"Cantharellus jebbi",20
"Cantharellus noumeae",20
"Catalaphyllia jardinei",100
"Caulastraea curvata",100
"Caulastraea furcata",500
"Caulastraea tumida",100
"Cladocora caespitosa",50
"Coelastrea aspera",500
"Coelastrea palauensis",20
"Colpophyllia natans",200
"Cycloseris costulata",8
"Cycloseris curvata",9
"Cycloseris cyclolites",40
"Cycloseris distorta",4
"Cycloseris fragilis",7
"Cycloseris hexagonalis",9
"Cycloseris mokai",10
"Cycloseris somervillei",13
"Cynarina macassarensis",4.5
"Cyphastrea chalcidicum",100
"Danafungia horrida",20
"Danafungia scruposa",24
"Dendrogyra cylindrus",200
"Dichocoenia stokesii",55
"Diploastrea heliopora",700
"Diploria labyrinthiformis",32.33
"Dipsastraea faviaformis",20
"Dipsastraea favus",37
"Dipsastraea lacuna",100
"Dipsastraea lizardensis",100
"Dipsastraea marshae",60
"Dipsastraea rosaria",100
"Dipsastraea speciosa",75
"Echinophyllia costata",80
"Echinophyllia orpheensis",50
"Echinopora ashmorensis",200
"Echinopora fruticulosa",200
"Echinopora horrida",500
"Echinopora lamellosa",500
"Echinopora mammiformis",500
"Erythrastrea flabellata",100
"Euphyllia ancora",100
"Euphyllia cristata",12
"Euphyllia divisa",100
"Eusmilia fastigiata",250
"Favia fragum",5
"Favia leptophylla",100
"Favites abdita",100
"Favites colemani",40
"Favites magnistellata",200
"Favites micropentagonus",50
"Favites paraflexuosus",60
"Favites pentagona",100
"Fungia fungites",28
"Galaxea acrhelia",200
"Galaxea astreata",200
"Galaxea cryptoramosa",30
"Galaxea fascicularis",500
"Galaxea horrescens",200
"Galaxea longisepta",15
"Goniastrea edwardsi",100
"Goniastrea ramosa",30
"Goniastrea retiformis",100
"Goniastrea thecata",100
"Goniopora albiconus",100
"Goniopora ciliatus",500
"Goniopora diminuta",30
"Goniopora pearsoni",200
"Goniopora somaliensis",200
"Goniopora stokesi",10
"Gyrosmilia interrupta",50
"Halomitra pileus",60
"Heliofungia actiniformis",20
"Helioseris cucullata",24
"Homophyllia australis",6
"Homophyllia bowerbanki",200
"Hydnophora exesa",100
"Isophyllia rigida",5.78
"Isophyllia sinuosa",8.27
"Isopora brueggemanni",100
"Isopora crateriformis",100
"Isopora cuneata",20
"Isopora togianensis",150
"Leptastrea aequalis",20
"Leptastrea bewickensis",100
"Leptastrea purpurea",100
"Leptoria irregularis",150
"Leptoseris gardineri",1000
"Leptoseris mycetoseroides",200
"Leptoseris striata",10
"Leptoseris yabei",100
"Lithophyllon concinna",16
"Lithophyllon repanda",30
"Lithophyllon spinifer",12.5
"Lithophyllon undulatum",50
"Lobactis scutaria",17
"Lobophyllia corymbosa",200
"Lobophyllia dentata",200
"Lobophyllia flabelliformis",200
"Lobophyllia hassi",20
"Lobophyllia hemprichii",500
"Lobophyllia serrata",200
"Lobophyllia vitiensis",21.5
"Madracis decactis",10
"Madracis formosa",10.23
"Madracis kirbyi",125
"Madracis mirabilis",14.66
"Manicina areolata",10
"Meandrina meandrites",16.3
"Merulina scheeri",30
"Merulina triangularis",500
"Micromussa multipunctata",30
"Montastraea cavernosa",250
"Montipora confusa",100
"Montipora dilatata",30
"Montipora flabellata",50
"Montipora hemispherica",200
"Montipora meandrina",20
"Montipora niugini",30
"Montipora palawanensis",200
"Montipora patula",200
"Montipora saudii",100
"Montipora taiwanensis",50
"Montipora verruculosa",200
"Moseleya latistellata",25
"Mussa angulosa",50
"Mussismilia harttii",100
"Mussismilia hispida",50
"Mycedium elephantotus",300
"Mycedium steeni",30
"Mycedium umbra",100
"Mycetophyllia aliciae",13.62
"Mycetophyllia ferox",22
"Mycetophyllia lamarckiana",13.28
"Nemenzophyllia turbida",200
"Oculina arbuscula",50
"Oculina varicosa",50
"Orbicella annularis",800
"Orbicella faveolata",1000
"Orbicella franksi",500
"Oulophyllia crispa",100
"Oxypora convoluta",200
"Oxypora egyptensis",100
"Pachyseris rugosa",1000
"Pachyseris speciosa",2
"Paramontastraea serageldini",80
"Pavona bipartita",100
"Pavona cactus",1000
"Pavona clavus",2000
"Pavona decussata",20
"Pavona maldivensis",30
"Pavona minuta",1000
"Pectinia africana",30
"Pectinia lactuca",100
"Pectinia maxima",100
"Pectinia paeonia",100
"Phacelocyathus flos",30
"Physogyra lichtensteini",100
"Placotrochides frustum",0.5
"Platygyra carnosa",40
"Plerogyra discus",30
"Plerogyra sinuosa",100
"Plesiastrea versipora",300
"Pleuractis granulosa",13.5
"Pleuractis paumotensis",25
"Pleuractis seychellensis",15
"Pleuractis taiwanensis",28
"Pocillopora damicornis",200
"Pocillopora effusa",200
"Pocillopora fungiformis",200
"Pocillopora grandis",100
"Pocillopora indiania",100
"Pocillopora ligulata",50
"Pocillopora meandrina",100
"Pocillopora verrucosa",100
"Podabacia crustacea",150
"Podabacia sinai",100
"Porites astreoides",55
"Porites brighami",10
"Porites compressa",123
"Porites cylindrica",1000
"Porites decasepta",7
"Porites densa",15
"Porites evermanni",120
"Porites flavus",40
"Porites harrisoni",100
"Porites lobata",685
"Porites lutea",400
"Porites mayeri",400
"Porites monticulosa",100
"Porites murrayensis",20
"Porites myrmidonensis",400
"Porites porites",30
"Porites rugosus",100
"Porites rus",500
"Porites stephensoni",10
"Porites sverdrupi",30
"Porites vaughani",20
"Psammocora contigua",50
"Psammocora digitata",6.5
"Pseudodiploria clivosa",61
"Pseudodiploria strigosa",100
"Pseudosiderastrea tayamai",16
"Sandalolitha robusta",50
"Schizoculina africana",100
"Schizoculina fissipara",100
"Scolymia cubensis",10
"Seriatopora guttata",30
"Siderastrea radians",30
"Siderastrea savignyana",100
"Siderastrea siderea",130
"Stephanocoenia intersepta",60
"Stylaraea punctata",15
"Stylocoeniella guentheri",50
"Stylophora madagascarensis",20
"Stylophora mamillata",10
"Trachyphyllia geoffroyi",8
"Turbinaria frondens",400
"Turbinaria mesenterina",100
"Turbinaria radicalis",100
"Turbinaria reniformis",500
"Zoopilus echinatus",60
