"species","dark_respiration","sd","n"
"Acropora cervicornis",0.373333333333333,0.0208166599946613,3
"Acropora muricata",1.23645833333333,0.510637239755386,6
"Acropora palmata",0.515,0.459619407771256,2
"Favites abdita",1.69375,0.141208333333333,3
"Coelastrea aspera",1.86,0.585445866215245,9
"Goniastrea retiformis",0.74,0.0565685424949239,2
"Montastraea cavernosa",0.306666666666667,0.100166528008778,3
"Montipora monasteriata",0.82,0.46184412955022,3
"Orbicella annularis",1.05,0.776151895382523,18
"Orbicella faveolata",0.14,0.165378354085412,5
"Pachyseris speciosa",1,0.201098649092098,15
"Pocillopora damicornis",2.11666666666667,1.35308289965299,3
"Pocillopora grandis",0.36,NA,1
"Porites cylindrica",0.715,0.0613731754650732,4
"Porites lobata",0.932916666666667,0.370585806121975,9
"Porites lutea",0.881666666666667,0.124945068948837,9
"Porites porites",0.42,0.15556349186104,2
"Seriatopora hystrix",0.638,0.156547117507797,25
"Stylophora pistillata",0.15,0.13361511890501,40
"Turbinaria reniformis",1.809,0.979429936238422,16
