"species","Fecundity_polyp","sd","n"
"Acropora gemmifera",6.448,2.75118156434649,360
"Acropora hyacinthus",5.576,4.11728551353923,360
"Acropora millepora",5.139,2.75118156434649,360
"Acropora nana",4.461,2.82707622819053,360
"Coelastrea aspera",272.549019607843,NA,12
"Dipsastraea favus",1200,NA,1
"Goniastrea favulus",95.1566951566951,NA,18
"Goniastrea retiformis",45.818,30.9270755164467,360
"Lobophyllia corymbosa",2800,NA,1
"Platygyra sinensis",77.3658536585366,NA,25
"Porites australiensis",72,NA,1
"Porites lutea",72,NA,1
"Stylophora pistillata",2.521,4.81931115409661,360
