"species","life_history_strategy"
"Acanthastrea echinata","stress-tolerant"
"Acanthastrea pachysepta","stress-tolerant"
"Acropora aspera","competitive"
"Acropora cerealis","competitive"
"Acropora cervicornis","competitive"
"Acropora cytherea","competitive"
"Acropora divaricata","competitive"
"Acropora elseyi","competitive"
"Acropora florida","competitive"
"Acropora gemmifera","competitive"
"Acropora glauca","competitive"
"Acropora grandis","competitive"
"Acropora granulosa","competitive"
"Acropora hemprichii","competitive"
"Acropora horrida","competitive"
"Acropora humilis","competitive"
"Acropora hyacinthus","competitive"
"Acropora intermedia","competitive"
"Acropora longicyathus","competitive"
"Acropora loripes","competitive"
"Acropora lutkeni","competitive"
"Acropora microclados","competitive"
"Acropora microphthalma","competitive"
"Acropora millepora","competitive"
"Acropora muricata","competitive"
"Acropora palmata","competitive"
"Acropora polystoma","competitive"
"Acropora pulchra","competitive"
"Acropora robusta","competitive"
"Acropora samoensis","competitive"
"Acropora sarmentosa","competitive"
"Acropora secale","competitive"
"Acropora solitaryensis","competitive"
"Acropora subulata","competitive"
"Acropora tenuis","competitive"
"Acropora valenciennesi","competitive"
"Acropora valida","competitive"
"Acropora verweyi","competitive"
"Acropora yongei","competitive"
"Agaricia agaricites","weedy"
"Agaricia fragilis","weedy"
"Agaricia humilis","weedy"
"Agaricia lamarcki","weedy"
"Agaricia tenuifolia","weedy"
"Alveopora fenestrata","stress-tolerant"
"Astrea curta","stress-tolerant"
"Astreopora myriophthalma","stress-tolerant"
"Caulastraea furcata","stress-tolerant"
"Coelastrea aspera","weedy"
"Colpophyllia natans","stress-tolerant"
"Cyphastrea chalcidicum","stress-tolerant"
"Cyphastrea microphthalma","stress-tolerant"
"Cyphastrea ocellina","weedy"
"Cyphastrea serailia","stress-tolerant"
"Dendrogyra cylindrus","competitive"
"Dichocoenia stokesii","stress-tolerant"
"Diploastrea heliopora","stress-tolerant"
"Diploria labyrinthiformis","stress-tolerant"
"Dipsastraea favus","stress-tolerant"
"Dipsastraea matthaii","stress-tolerant"
"Dipsastraea pallida","stress-tolerant"
"Echinophyllia orpheensis","stress-tolerant"
"Echinopora gemmacea","generalist"
"Eusmilia fastigiata","stress-tolerant"
"Favia fragum","stress-tolerant"
"Favites abdita","stress-tolerant"
"Favites chinensis","stress-tolerant"
"Favites halicora","stress-tolerant"
"Favites pentagona","stress-tolerant"
"Favites valenciennesi","stress-tolerant"
"Fungia fungites","stress-tolerant"
"Galaxea astreata","stress-tolerant"
"Galaxea fascicularis","stress-tolerant"
"Gardineroseris planulata","stress-tolerant"
"Goniastrea edwardsi","stress-tolerant"
"Goniastrea favulus","stress-tolerant"
"Goniastrea retiformis","stress-tolerant"
"Goniastrea stelligera","stress-tolerant"
"Heliofungia actiniformis","stress-tolerant"
"Hydnophora exesa","generalist"
"Hydnophora microconos","stress-tolerant"
"Isophyllia sinuosa","weedy"
"Leptastrea purpurea","weedy"
"Leptoria phrygia","stress-tolerant"
"Lobophyllia corymbosa","stress-tolerant"
"Madracis decactis","weedy"
"Madracis formosa","weedy"
"Madracis pharensis","weedy"
"Manicina areolata","weedy"
"Meandrina meandrites","stress-tolerant"
"Merulina ampliata","generalist"
"Montastraea cavernosa","stress-tolerant"
"Montipora capitata","competitive"
"Montipora danae","generalist"
"Montipora digitata","competitive"
"Montipora monasteriata","generalist"
"Montipora venosa","stress-tolerant"
"Montipora verrucosa","generalist"
"Mycedium elephantotus","generalist"
"Mycetophyllia ferox","weedy"
"Orbicella annularis","stress-tolerant"
"Orbicella faveolata","generalist"
"Orbicella franksi","generalist"
"Oulophyllia crispa","stress-tolerant"
"Pachyseris rugosa","generalist"
"Pachyseris speciosa","generalist"
"Paragoniastrea australensis","stress-tolerant"
"Pavona clavus","stress-tolerant"
"Pavona decussata","generalist"
"Pavona gigantea","stress-tolerant"
"Pavona varians","stress-tolerant"
"Physogyra lichtensteini","stress-tolerant"
"Platygyra daedalea","stress-tolerant"
"Platygyra lamellina","stress-tolerant"
"Platygyra sinensis","stress-tolerant"
"Plerogyra sinuosa","stress-tolerant"
"Plesiastrea versipora","stress-tolerant"
"Pleuractis granulosa","stress-tolerant"
"Pocillopora damicornis","weedy"
"Pocillopora elegans","competitive"
"Pocillopora grandis","competitive"
"Pocillopora meandrina","competitive"
"Pocillopora verrucosa","competitive"
"Porites annae","stress-tolerant"
"Porites astreoides","weedy"
"Porites australiensis","stress-tolerant"
"Porites compressa","competitive"
"Porites cylindrica","weedy"
"Porites furcata","weedy"
"Porites lobata","stress-tolerant"
"Porites lutea","stress-tolerant"
"Porites porites","weedy"
"Porites rus","weedy"
"Psammocora profundacella","generalist"
"Pseudodiploria clivosa","stress-tolerant"
"Pseudodiploria strigosa","stress-tolerant"
"Seriatopora hystrix","weedy"
"Siderastrea radians","weedy"
"Siderastrea siderea","stress-tolerant"
"Stephanocoenia intersepta","stress-tolerant"
"Stylophora pistillata","weedy"
"Turbinaria frondens","generalist"
"Turbinaria mesenterina","competitive"
