"species","mean_RSC","sd","n"
"Acropora aspera",7.06,NA,1
"Acropora cervicornis",7.28,NA,1
"Acropora clathrata",6.44,NA,1
"Acropora cytherea",9.31,1.954,4
"Acropora digitifera",10.79,NA,1
"Acropora elseyi",8.2,NA,1
"Acropora humilis",12.99,NA,1
"Acropora hyacinthus",9.87,NA,1
"Acropora intermedia",9,2.684,5
"Acropora loisetteae",5.44,NA,1
"Acropora millepora",7.2,NA,1
"Acropora monticulosa",6.07,NA,1
"Acropora palmata",6.79,3.392,3
"Acropora robusta",15.77,NA,1
"Acropora secale",8.09,NA,1
"Acropora variolosa",14.53,NA,1
"Agaricia agaricites",6.8,1.096,2
"Agaricia fragilis",8.52,0.863,2
"Alveopora daedalea",10.8,NA,1
"Caulastraea tumida",11.79,NA,1
"Coelastrea aspera",9.73,NA,1
"Coeloseris mayeri",5.94,NA,1
"Coscinaraea columna",9.8,NA,1
"Coscinaraea monile",6.26,NA,1
"Cycloseris curvata",5.83,NA,1
"Cyphastrea chalcidicum",9.64,NA,1
"Cyphastrea microphthalma",6.37,2.8,2
"Dendrogyra cylindrus",6.75,NA,1
"Diploastrea heliopora",8.7,NA,1
"Diploria labyrinthiformis",3.39,NA,1
"Dipsastraea favus",3.98,NA,1
"Dipsastraea pallida",6.49,NA,1
"Dipsastraea veroni",12.41,NA,1
"Echinophyllia aspera",5.64,NA,1
"Echinopora forskaliana",13.76,NA,1
"Echinopora gemmacea",8.93,2.843,2
"Echinopora taylorae",8.07,NA,1
"Euphyllia glabrescens",7.75,NA,1
"Favia fragum",9.98,NA,1
"Favites abdita",3.84,NA,1
"Favites halicora",4.8,NA,1
"Fungia fungites",4.65,0.516,2
"Galaxea fascicularis",8.06,1.895,2
"Goniastrea retiformis",11.03,NA,1
"Helioseris cucullata",5.62,2.22,2
"Hydnophora exesa",9.24,NA,1
"Hydnophora grandis",7.95,NA,1
"Hydnophora rigida",10.78,NA,1
"Isopora palifera",8.56,0.283,2
"Leptastrea transversa",10.92,NA,1
"Leptoria phrygia",5.77,NA,1
"Lobophyllia hemprichii",9.98,NA,1
"Meandrina meandrites",5.99,NA,1
"Merulina scabricula",6.1,1.485,2
"Montastraea cavernosa",14.15,NA,1
"Montipora digitata",3.92,NA,1
"Montipora flabellata",5.36,NA,1
"Montipora foliosa",4.03,NA,1
"Montipora informis",5.64,NA,1
"Montipora verrucosa",8.27,NA,1
"Mycedium elephantotus",24.39,NA,1
"Orbicella annularis",14.5,NA,1
"Pavona cactus",6.86,1.257,8
"Pavona clavus",6.11,NA,1
"Pavona decussata",3.02,NA,1
"Pavona frondifera",11.52,1.407,2
"Pavona varians",10.01,4.023,3
"Platygyra daedalea",5.79,NA,1
"Platygyra lamellina",14.58,NA,1
"Platygyra sinensis",8.45,NA,1
"Pocillopora damicornis",7.67,2.559,8
"Pocillopora grandis",9.77,NA,1
"Porites astreoides",8.8,NA,1
"Porites compressa",9.64,2.56,2
"Porites cumulatus",9.41,NA,1
"Porites cylindrica",8.84,NA,1
"Porites lobata",9.38,4.002,4
"Porites lutea",8.69,NA,1
"Porites monticulosa",12.66,NA,1
"Porites nigrescens",8.65,NA,1
"Porites porites",9.49,2.659,4
"Porites rus",17.76,NA,1
"Psammocora contigua",14.33,2.89,2
"Pseudodiploria clivosa",15.7,NA,1
"Pseudodiploria strigosa",12.52,NA,1
"Seriatopora caliendrum",4.44,NA,1
"Seriatopora hystrix",6.18,2.738,6
"Siderastrea stellata",14.09,NA,1
"Stylophora pistillata",7.04,4.191,3
"Stylophora subseriata",7.43,3.507,2
"Symphyllia recta",7.16,NA,1
"Turbinaria mesenterina",12.15,4.256,5
"Turbinaria reniformis",3.48,NA,1
