"species","meanTissueThick","sd","n"
"Acropora aspera","1","0.329","5"
"Acropora digitifera","1.9","0.105","5"
"Acropora gemmifera","1.9","0.018","5"
"Coelastrea aspera","3.6","0.006","5"
"Dipsastraea pallida","3.1","0.00491934955049954","5"
"Favites chinensis","9.4","0.0778151656169927","5"
"Goniastrea retiformis","2.8","0.196","5"
"Montipora digitata","0.9","0.006","5"
"Orbicella faveolata","0.24","0.0173205080756888","11"
"Platygyra ryukyuensis","4","0.042932505167996","5"
"Pocillopora damicornis","0.9","0.043","5"
"Pocillopora verrucosa","0.4","0.006","5"
"Porites australiensis","5.925","1.03846477595973","12"
"Porites cylindrica","1.3","0.18","5"
"Porites lobata","6.38333333333333","1.67978173185288","6"
"Porites lutea","5.3576","1.33433117009016","75"
"Porites rus","1.9","0.3","5"
"Porites sillimaniani","1.3","0.135","5"
"Porites solida","6.55","1.63401346383682","4"
"Stylophora pistillata","1.5","0.124772593144488","5"
