"","observation_id","access","user_id","specie_id","specie_name","location_id","location_name","latitude","longitude","resource_id","resource_secondary_id","measurement_id","trait_id","trait_name","standard_id","standard_unit","methodology_id","methodology_name","value","value_type","precision","precision_type","precision_upper","replicates","notes"
"1",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198483,211,"Eggs per area",47,"units cm^-2",NA,"","900","mean",250,"standard_deviation",NA,4,""
"2",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198482,210,"Number of septa per corallite",6,"units",NA,"","23.7","mean",0.8,"standard_deviation",NA,4,""
"3",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198481,209,"Mesentery fecundity",6,"units",NA,"","11.2","mean",1,"standard_deviation",NA,4,""
"4",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198480,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"5",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198479,148,"Polyps per area",47,"units cm^-2",NA,"","3.4","mean",0.9,"standard_deviation",NA,4,""
"6",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198478,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"7",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198477,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"8",156169,1,9,794,"Coelastrea aspera",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198476,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
"9",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198470,211,"Eggs per area",47,"units cm^-2",NA,"","940","mean",260,"standard_deviation",NA,8,""
"10",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198469,210,"Number of septa per corallite",6,"units",NA,"","23.7","mean",0.8,"standard_deviation",NA,8,""
"11",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198468,209,"Mesentery fecundity",6,"units",NA,"","11.7","mean",1.1,"standard_deviation",NA,8,""
"12",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198467,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"13",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198466,148,"Polyps per area",47,"units cm^-2",NA,"","3.4","mean",0.9,"standard_deviation",NA,8,""
"14",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198465,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"15",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198464,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"16",156167,1,9,794,"Coelastrea aspera",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198463,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
"17",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198509,211,"Eggs per area",47,"units cm^-2",NA,"","420","mean",160,"standard_deviation",NA,7,""
"18",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198508,210,"Number of septa per corallite",6,"units",NA,"","23.2","mean",1,"standard_deviation",NA,7,""
"19",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198507,209,"Mesentery fecundity",6,"units",NA,"","4.9","mean",0.8,"standard_deviation",NA,7,""
"20",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198506,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"21",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198505,148,"Polyps per area",47,"units cm^-2",NA,"","3.9","mean",1.2,"standard_deviation",NA,7,""
"22",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198504,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"23",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198503,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"24",156173,1,9,799,"Goniastrea favulus",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198502,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
"25",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198496,211,"Eggs per area",47,"units cm^-2",NA,"","340","mean",130,"standard_deviation",NA,11,""
"26",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198495,210,"Number of septa per corallite",6,"units",NA,"","23.2","mean",1,"standard_deviation",NA,11,""
"27",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198494,209,"Mesentery fecundity",6,"units",NA,"","3.9","mean",0.6,"standard_deviation",NA,11,""
"28",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198493,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"29",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198492,148,"Polyps per area",47,"units cm^-2",NA,"","3.9","mean",1.2,"standard_deviation",NA,11,""
"30",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198491,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"31",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198490,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"32",156171,1,9,799,"Goniastrea favulus",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198489,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
"33",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198522,211,"Eggs per area",47,"units cm^-2",NA,"","330","mean",100,"standard_deviation",NA,17,""
"34",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198521,210,"Number of septa per corallite",6,"units",NA,"","20","mean",0.7,"standard_deviation",NA,17,""
"35",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198520,209,"Mesentery fecundity",6,"units",NA,"","4","mean",0.8,"standard_deviation",NA,17,""
"36",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198519,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"37",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198518,148,"Polyps per area",47,"units cm^-2",NA,"","4.1","mean",0.7,"standard_deviation",NA,17,""
"38",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198517,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"39",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198516,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"40",156175,1,9,1203,"Platygyra sinensis",3,"Geoffrey Bay, Magnetic Island",-19.156016,146.864828,273,NA,198515,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
"41",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198535,211,"Eggs per area",47,"units cm^-2",NA,"","290","mean",100,"standard_deviation",NA,8,""
"42",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198534,210,"Number of septa per corallite",6,"units",NA,"","20","mean",0.7,"standard_deviation",NA,8,""
"43",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198533,209,"Mesentery fecundity",6,"units",NA,"","3.6","mean",0.8,"standard_deviation",NA,8,""
"44",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198532,151,"Season",10,"cat",NA,"","June-August","raw_value",NA,"",NA,NA,""
"45",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198531,148,"Polyps per area",47,"units cm^-2",NA,"","4.1","mean",0.7,"standard_deviation",NA,8,""
"46",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198530,144,"Wave exposure",10,"cat",NA,"","sheltered","raw_value",NA,"",NA,NA,""
"47",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198529,143,"Water depth",9,"m",6,"Depth gauge","2","raw_value",NA,"",NA,NA,"tidal range of 3.5m. They have collected data on low tide only."
"48",156177,1,9,1203,"Platygyra sinensis",177,"Pioneer Bay, Orpheus Island",-18.610784,146.488051,273,NA,198528,142,"Habitat type",10,"cat",NA,"","flat","raw_value",NA,"",NA,NA,""
