"Genus","Species"
"Acropora","arafura"
"Acropora","khayranensis"
"Acropora","magnifica"
"Acropora","paragemmifera"
"Acropora","sirikitiae"
"Acropora","sordiensis"
"Acropora","surculosa"
"Astreopora","lambertsi"
"Blastomussa","vivida"
"Craterastrea","levis"
"Dipsastraea","camranensis"
"Dipsastraea","mirabilis"
"Dipsastraea","wisseli"
"Echinophyllia","maxima"
"Echinophyllia","tarae"
"Echinopora","grandicula"
"Enigmopora","darveliensis"
"Favia","gravida"
"Leptoseris","fragilis"
"Leptoseris","glabra"
"Lithophyllon","ranjithi"
"Madracis","carmabi"
"Montipora","edwardsi"
"Montipora","granulosa"
"Montipora","tortuosa"
"Mycedium","spina"
"Pachyseris","inattesa"
"Pavona","divaricata"
"Pectinia","crassa"
"Plerogyra","cauliformis"
"Plerogyra","diabolotus"
"Plerogyra","eurysepta"
"Pleuractis","gravis"
"Pocillopora","acuta"
"Pocillopora","aliciae"
"Pocillopora","bairdi"
"Pocillopora","brevicornis"
"Pocillopora","solida"
"Podabacia","kunzmanni"
"Polycyathus","chaishanensis"
"Porites","baueri"
"Porites","duerdeni"
"Porites","ericacea"
"Porites","excavata"
"Porites","fontanesii"
"Porites","hawaiiensis"
"Porites","iwayamaensis"
"Porites","randalli"
"Porites","studeri"
"Psammocora","albopicta"
"Psammocora","interstinctus"
"Sclerophyllia","margariticola"
"Scolymia","wellsi"
"Stylocoeniella","muscosus"
"Stylophora","mordax"
"Turbinaria","crater"
